popid,pop
799,27
800,18
801,114
802,164
803,213
804,29
805,79
806,62
807,90
808,51
809,37
810,36
811,27
812,46
813,48
814,60
815,70
816,72
817,69
818,42
819,63
820,70
821,50
822,91
823,87
824,186
825,208
826,174
827,229
828,165
829,166
830,126
831,75
832,69
833,95
834,147
835,155
836,166
837,139
838,157
839,132
840,44
841,8
842,85
843,39
844,36
845,122
846,143
847,56
848,29
849,57
850,218
851,146
852,124
853,143
854,67
855,206
856,48
857,0
858,127
859,109
860,59
861,207
862,11
863,54
864,0
865,0
866,173
867,115
868,92
869,109
870,123
871,118
872,123
873,113
874,109
875,99
876,0
877,0
878,133
879,53
880,114
881,73
882,48
883,139
884,72
885,112
886,101
887,162
888,3
889,86
890,0
891,25
892,47
893,53
894,77
895,45
896,46
897,126
898,162
899,108
900,52
901,118
902,68
903,103
904,11
905,47
906,33
907,41
908,51
909,37
910,22
911,41
912,96
913,132
914,111
915,113
916,56
917,80
918,43
919,78
920,48
921,0
922,2
923,12
924,0
925,142
926,68
927,11
928,14
929,51
930,6
931,56
932,0
933,43
934,21
935,26
936,64
937,39
938,20
939,0
940,0
941,0
942,0
943,38
944,4
945,32
946,14
947,41
948,30
949,20
950,8
951,17
952,19
953,24
954,0
955,5
956,39
957,104
958,79
959,46
960,41
961,73
962,69
963,52
964,0
965,69
966,21
967,23
968,10
969,94
970,50
971,30
972,21
973,12
974,44
975,0
976,0
977,23
978,109
979,0
980,185
981,78
982,35
983,0
984,42
985,20
986,171
987,126
988,161
989,58
990,132
991,131
992,128
993,43
994,46
995,67
996,71
997,57
998,135
999,0
1000,0
1001,0
1002,46
1003,12
1004,137
1005,139
1006,26
1007,192
1008,324
1009,183
1010,201
1011,148
1012,73
1013,179
1014,146
1015,95
1016,185
1017,80
1018,175
1019,267
1020,149
1021,156
1022,169
1023,124
1024,159
1025,181
1026,94
1027,83
1028,43
1029,45
1030,74
1031,108
1032,165
1033,125
1034,70
1035,0
1036,0
1037,106
1038,43
1039,63
1040,124
1041,47
1042,46
1043,61
1044,66
1045,120
1046,119
1047,68
1048,69
1049,91
1050,0
1051,0
1052,0
1053,0
1054,17
1055,160
1056,151
1057,111
1058,116
1059,111
1060,138
1061,80
1062,57
1063,73
1064,58
1065,90
1066,103
1067,84
1068,127
1069,24
1070,37
1071,11
1072,0
1073,97
1074,15
1075,16
1076,14
1077,0
1078,41
1079,55
1080,105
1081,57
1082,55
1083,44
1084,79
1085,58
1086,68
1087,49
1088,45
1089,55
1090,67
1091,69
1092,51
1093,109
1094,124
1095,112
1096,94
1097,148
1098,89
1099,105
1100,48
1101,46
1102,104
1103,45
1104,61
1105,0
1106,58
1107,7
1108,0
1109,1
1110,28
1111,20
1112,2
1113,78
1114,0
1115,0
1116,35
1117,0
1118,0
1119,86
1120,95
1121,91
1122,92
1123,59
1124,97
1125,135
1126,85
1127,120
1128,102
1129,120
1130,155
1131,142
1132,161
1133,16
1134,0
1135,105
1136,135
1137,127
1138,137
1139,48
1140,43
1141,56
1142,62
1143,59
1144,48
1145,34
1146,54
1147,60
1148,51
1149,0
1150,0
1151,23
1152,0
1153,0
1154,175
1155,143
1156,205
1157,174
1158,165
1159,178
1160,0
1161,0
1162,85
1163,122
1164,2
1165,6
1166,127
1167,133
1168,124
1169,0
1170,157
1171,0
1172,72
1173,46
1174,28
1175,3
1176,152
1177,226
1178,107
1179,126
1180,174
1181,267
1182,242
1183,218
1184,214
1185,167
1186,113
1187,150
1188,28
1189,58
1190,168
1191,0
1192,0
1193,20
1194,13
1195,257
1196,177
1197,78
1198,6
1199,214
1200,141
1201,54
1202,56
1203,0
1204,71
1205,146
1206,96
1207,49
1208,62
1209,40
1210,38
1211,48
1212,860
1213,0
1214,37
1215,54
1216,35
1217,80
1218,109
1219,153
1220,138
1221,179
1222,165
1223,142
1224,0
1225,137
1226,144
1227,105
1228,32
1229,35
1230,114
1231,60
1232,51
1233,73
1234,143
1235,104
1236,57
1237,257
1238,197
1239,220
1240,229
1241,191
1242,33
1243,0
1244,112
1245,198
1246,180
1247,80
1248,92
1249,120
1250,3
1251,2
1252,5
1253,118
1254,116
1255,61
1256,0
1257,0
1258,137
1259,48
1260,50
1261,118
1262,223
1263,24
1264,140
1265,0
1266,0
1267,0
1268,0
1269,236
1270,169
1271,149
1272,241
1273,36
1274,135
1275,75
1276,58
1277,38
1278,333
1279,0
1280,0
1281,0
1282,53
1283,9
1284,80
1285,151
1286,302
1287,294
1288,212
1289,186
1290,14
1291,159
1292,157
1293,220
1294,78
1295,108
1296,53
1297,33
1298,465
1299,475
1300,9
1301,507
1302,619
1303,532
1304,0
1305,759
1306,494
1307,0
1308,413
1309,607
1310,440
1311,400
1312,6
1313,48
1314,113
1315,523
1316,258
1317,396
1318,433
1319,0
1320,217
1321,0
1322,154
1323,0
1324,74
1325,0
1326,371
1327,295
1328,384
1329,0
1330,730
1331,259
1332,227
1333,264
1334,750
1335,638
1336,0
1337,0
1338,0
1339,580
1340,233
1341,20
1342,125
1343,173
1344,165
1345,94
1346,121
1347,198
1348,54
1349,53
1350,53
1351,130
1352,90
1353,54
1354,87
1355,30
1356,65
1357,82
1358,74
