docid,doc
11996,1
12010,1
12012,1
12079,1
12084,3
12111,1
12120,7
12174,1
12202,1
12230,1
12236,1
12237,1
12257,1
12280,1
12360,1
12361,5
12362,2
12377,1
12440,1
12452,2
12526,20
12603,1
12617,3
12646,1
12669,1
12681,2
12682,2
12684,2
12699,1
12713,2
12726,1
12729,1
12730,1
12752,1
12754,1
12756,1
12805,1
12815,5
12833,5
12928,4
12948,1
13055,1
13079,1
13102,2
13128,1
13149,1
13194,2
13208,1
13304,2
13337,1
13378,1
13391,1
13403,2
13405,1
13406,4
13525,1
13551,1
13557,4
13592,2
13654,3
13739,1
13783,1
13823,4
13862,1
13904,1
13979,7
14077,2
14178,2
14179,1
14210,1
14212,1
14220,1
14221,3
14237,1
14267,2
14290,12
14330,3
14331,1
14344,31
14350,4
14366,1
14389,1
14398,5
14399,1
14424,1
14436,31
14438,3
14444,37
14450,6
14457,1
14480,1
14506,1
14515,1
14541,1
14544,1
14554,1
14555,1
14591,2
14600,1
14602,1
14607,1
14623,1
14624,2
14649,2
14651,1
14660,2
14663,1
14665,1
14688,1
14717,2
14718,1
14726,1
14745,1
14779,2
14784,1
14814,1
14844,1
14845,57
14848,4
14890,1
14891,3
14911,2
14929,1
14943,3
14944,7
14945,2
14968,1
15009,2
15055,5
15109,1
15110,1
15131,3
15165,3
15166,19
15169,17
15353,2
15555,1
15663,9
15694,6
15711,1
15751,2
15780,2
15786,1
15929,2
16018,5
16023,2
16060,1
16061,1
16180,1
16399,3
16601,11
16624,6
16641,2
16654,3
16767,1
16790,1
16889,4
16890,7
17167,1
17170,1
17219,1
17221,2
17303,1
17378,1
17400,5
17401,1
17429,1
17453,1
17456,2
17472,3
17508,2
17510,2
17514,1
17521,1
17522,1
17608,1
17610,13
17617,1
17620,1
17622,1
17629,1
17631,1
17634,1
17639,1
17689,1
17704,1
17711,1
17712,1
17720,1
17745,3
17967,1
18007,42
18128,1
18130,4
18160,1
18161,2
18163,3
18166,2
18248,1
18263,1
18288,1
18313,2
18315,1
18359,2
18389,3
18392,2
18393,1
18395,2
18414,1
18470,1
18519,1
18529,2
18541,2
18543,2
18544,1
18628,1
18656,1
18688,4
18754,1
18787,2
18788,1
18809,1
18810,1
18855,1
18857,1
18858,2
18861,1
18893,1
18912,4
18941,1
18943,31
18944,1
18945,53
18946,5
18947,53
18963,3
18967,24
18970,5
18978,7
18979,17
18980,6
18982,4
18985,3
18994,1
18996,2
19007,2
19018,1
19037,1
19038,1
19039,11
19044,23
19045,15
19048,2
19066,8
19075,1
19086,2
19100,1
19101,8
19102,2
19103,1
19109,1
19112,5
19119,1
19124,1
19132,2
19140,2
19141,2
19146,1
19147,1
19149,1
19150,2
19152,2
19158,2
19159,3
19255,1
19256,1
19393,3
19450,1
19525,1
19589,1
19630,2
19671,7
19713,1
19722,1
19742,2
19764,2
19774,51
19784,7
19794,1
19803,2
19879,1
19922,1
20063,1
20064,2
20099,9
20139,2
20141,1
