geoid,doc
170310902004026,3
170310902004028,1
170310903001035,1
170311001001014,1
170311001001016,2
170311001001017,2
170311001001018,2
170311001001026,1
170311001002017,5
170311001002027,1
170311001002031,2
170311001002042,1
170311001002046,1
170311001002047,1
170311002001019,1
170311002002001,5
170311002004003,1
170311002005020,3
170311003003001,1
170311004002008,1
170311004003000,219
170311006001033,9
170311006002008,1
170311006002009,1
170311006003022,1
170311006004026,1
170311006004027,1
170311006004029,3
170311006004030,1
170311006004031,1
170311006004058,2
170311006004072,1
170311101002002,1
170311101003008,1
170311101003018,2
170311101004012,1
170311102001007,3
170311102001011,3
170311102001012,7
170311102001018,4
170311102002000,2
170311102002001,1
170311103003021,1
170311104002000,5
170311104003007,1
170311104003013,1
170311104003014,1
170311105012005,1
170311105012012,1
170311105014003,1
170311105015016,1
170311105021007,1
170311105021008,1
170311105021021,1
170311105022032,2
170311105022036,3
170311201003013,1
170311201003019,1
170311201004001,3
170311202001034,2
170311202001038,2
170311202002015,1
170311202002018,3
170311202002022,1
170311202003000,1
170311202004001,1
170311202004003,1
170311202004008,32
170311202004023,5
170311203001012,2
170311203002012,3
170311203002020,1
170311203003029,1
170311203004008,1
170311203004009,1
170311204002003,1
170311301003001,2
170311301003003,4
170311301003004,3
170311301003005,11
170311301003007,1
170311301003038,4
170311301003039,4
170311301003053,2
170311301003054,4
170311301003055,2
170311302001002,1
170311302001019,2
170311303002000,4
170311303003002,1
170311401002003,9
170311402002010,2
170311402003014,1
170311404001010,1
170311404002016,1
170311404004015,1
170311405002013,2
170311405003018,1
170311406011012,2
170311406011028,1
170311406011029,1
170311406021000,1
170311406021001,1
170311406023000,1
170311407011000,2
170311407012003,1
170311407012009,1
170311407022012,3
170311408002014,1
170311408003023,2
170311408005008,6
170311502003015,1
170311502003018,7
170311502003021,1
170311502003023,5
170311502004030,1
170311502004037,1
170311502005009,1
170311502005010,1
170311503001002,1
170311503005002,1
170311503006011,2
170311503006014,2
170311503007000,2
170311504011000,3
170311504011001,1
170311504011003,1
170311504011004,1
170311504011005,1
170311504012022,1
170311504012023,1
170311504013000,7
170311504013001,1
170311504013002,2
170311504014022,1
170311504021015,1
170311504021019,1
170311504023005,1
170311504023023,2
170311505022016,1
170311505023010,2
170311506001001,3
170311506001005,3
170311506001016,2
170311506002018,1
170311506002019,25
170311506004001,2
170311507003017,1
170311507003018,1
170311507004001,1
170311507004006,1
170311508001000,1
170311508001002,3
170311508001009,1
170311511002000,1
170311511002014,2
170311511002015,5
170311511003006,2
170311511003014,1
170311511003015,2
170311511004000,1
170311511004013,2
170311511004018,2
170311512001000,21
170311512002020,3
170311601001000,13
170311603001002,1
170311604002033,1
170311604003018,2
170311606013003,1
170311606022008,1
170311606022011,1
170311607005003,1
170311608001000,2
170311608004001,1
170311608005003,2
170311610001006,1
170311610001016,4
170311610002002,1
170311610002007,1
170311610002015,1
170311613001009,1
170311701001002,5
170311702001000,1
170311703005003,1
170311703005026,5
170311704001000,2
170311704001001,2
170311704001003,2
170311704003015,3
170311704004000,1
170311704004004,1
170311705004030,1
170311707001000,2
170311707002016,1
170311708001010,1
170311708001017,1
170311708002000,1
170311708003022,1
170311709001019,1
170311710002023,1
170311710002025,4
170311710002026,1
170311710003012,2
170311710004006,1
170311710006026,2
170311801004002,1
170311801004003,1
170311801005000,2
170311801005001,8
170311801005002,1
170311801005019,4
170311901001011,1
170311902001001,1
170311902002010,1
170311903001000,1
170311903001001,1
170311903001004,1
170311903002000,1
170311903002015,1
170311903004016,2
170311904011000,8
170311904011003,2
170311904011009,1
170311904011023,1
170311904012031,5
170311904021001,1
170311904021003,1
170311904021005,1
170311906021001,1
170311906023000,1
170311906023020,1
170311907012000,1
170311907022005,1
170311907023003,2
170311908001002,1
170311910001003,1
170311911001001,2
170311911004000,2
170311911005000,1
170311912001002,2
170311912001003,9
170311913022001,1
170311913022002,1
170312001002018,1
170312001003032,1
170312002003013,1
170312003001000,1
170312003002000,1
170312003002002,1
170312004021013,1
170312004021018,3
170312101001001,1
170312101001010,7
170312101003014,1
170312104001017,1
170312105011013,1
170312105012002,1
170312105012003,1
170312105012023,1
170312105022000,1
170312106022007,1
170312106022008,5
170312106022009,2
170312106023010,1
170312107003018,1
170312108001001,2
170312109001048,20
170312204001004,1
170312204001018,3
170312204002027,1
170312205001020,1
170312205002011,2
170312205002012,2
170312205002014,2
170312205003010,1
170312206011009,2
170312206012012,1
170312206012015,1
170312206012016,1
170312206023006,1
170312206023008,1
170312206023010,1
