id,geoid
1,170310101001000
2,170310101001001
3,170310101001002
4,170310101001003
5,170310101002000
6,170310101002001
7,170310101002002
8,170310101002003
9,170310101002004
10,170310101002005
11,170310101002006
12,170310101002007
13,170310101002008
14,170310101002009
15,170310101002010
16,170310101002011
17,170310101002012
18,170310101002013
19,170310101003000
20,170310101003001
21,170310101003002
22,170310101003003
23,170310101003004
24,170310101003005
25,170310101003006
26,170310101003007
27,170310101003008
28,170310101003009
29,170310101003010
30,170310101003011
31,170310101003012
32,170310102011000
33,170310102011001
34,170310102011002
35,170310102011003
36,170310102011004
37,170310102011005
38,170310102011006
39,170310102011007
40,170310102011008
41,170310102011009
42,170310102011010
43,170310102011011
44,170310102011012
45,170310102011013
46,170310102012000
47,170310102012001
48,170310102012002
49,170310102012003
50,170310102012004
51,170310102012005
52,170310102012006
53,170310102012007
54,170310102012008
55,170310102012009
56,170310102012010
57,170310102012011
58,170310102012012
59,170310102012013
60,170310102012014
61,170310102012015
62,170310102012016
63,170310102012017
64,170310102012018
65,170310102012019
66,170310102012020
67,170310102012021
68,170310102012022
69,170310102012023
70,170310102012024
71,170310102012025
72,170310102012026
73,170310102012027
74,170310102012028
75,170310102012029
76,170310102012030
77,170310102012031
78,170310102012032
79,170310102012033
80,170310102012034
81,170310102012035
82,170310102012036
83,170310102012037
84,170310102012038
85,170310102012039
86,170310102012040
87,170310102013000
88,170310102013001
89,170310102013002
90,170310102013003
91,170310102013004
92,170310102013005
93,170310102013006
94,170310102013007
95,170310102013008
96,170310102013009
97,170310102013010
98,170310102013011
99,170310102021000
100,170310102021001
101,170310102021002
102,170310102021003
103,170310102021004
104,170310102021005
105,170310102021006
106,170310102021007
107,170310102021008
108,170310102021009
109,170310102021010
110,170310102021011
111,170310102021012
112,170310102021013
113,170310102022000
114,170310102022001
115,170310102022002
116,170310102022003
117,170310102022004
118,170310102022005
119,170310102022006
120,170310102022007
121,170310102022008
122,170310102022009
123,170310102022010
124,170310103001000
125,170310103001001
126,170310103001002
127,170310103001003
128,170310103001004
129,170310103001005
130,170310103001006
131,170310103001007
132,170310103002000
133,170310103002001
134,170310103002002
135,170310103002003
136,170310103002004
137,170310103002005
138,170310103002006
139,170310103002007
140,170310103002008
141,170310103002009
142,170310103002010
143,170310103002011
144,170310103002012
145,170310103002013
146,170310103002014
147,170310103002015
148,170310103002016
149,170310103002017
150,170310103003000
151,170310103003001
152,170310103003002
153,170310103003003
154,170310103003004
155,170310103003005
156,170310103003006
157,170310103003007
158,170310103004000
159,170310103004001
160,170310103004002
161,170310103004003
162,170310103004004
163,170310103004005
164,170310103004006
165,170310103004007
166,170310103004008
167,170310103004009
168,170310103004010
169,170310103004011
170,170310103004012
171,170310103004013
172,170310103004014
173,170310104001000
174,170310104001001
175,170310104001002
176,170310104001003
177,170310104001004
178,170310104001005
179,170310104001006
180,170310104002000
181,170310104002001
182,170310104002002
183,170310104002003
184,170310104002004
185,170310104002005
186,170310104002006
187,170310104002007
188,170310104003000
189,170310104003001
190,170310104003002
191,170310104003003
192,170310104003004
193,170310104003005
194,170310104003006
195,170310104003007
196,170310104003008
197,170310104003009
198,170310104003010
199,170310104003011
200,170310104003012
201,170310104003013
202,170310104003014
203,170310104003015
204,170310105011000
205,170310105011001
206,170310105011002
207,170310105011003
208,170310105012000
209,170310105012001
210,170310105012002
211,170310105012003
212,170310105012004
213,170310105012005
214,170310105012006
215,170310105012007
216,170310105012008
217,170310105013000
218,170310105013001
219,170310105013002
220,170310105013003
221,170310105013004
222,170310105013005
223,170310105013006
224,170310105013007
225,170310105013008
226,170310105013009
227,170310105013010
228,170310105021000
229,170310105021001
230,170310105021002
231,170310105021003
232,170310105021004
233,170310105021005
234,170310105021006
235,170310105021007
236,170310105021008
237,170310105021009
238,170310105021010
239,170310105021011
240,170310105021012
241,170310105022000
242,170310105022001
243,170310105022002
244,170310105022003
245,170310105022004
246,170310105022005
247,170310105022006
248,170310105022007
249,170310105022008
250,170310105022009
251,170310105022010
252,170310105031000
253,170310105031001
254,170310105031002
255,170310105031003
256,170310105031004
257,170310105031005
258,170310105031006
259,170310105031007
260,170310105031008
261,170310105031009
262,170310105031010
263,170310105031011
264,170310105031012
265,170310105031013
266,170310105031014
267,170310105031015
268,170310105031016
269,170310105032000
270,170310105032001
271,170310105032002
272,170310105032003
273,170310105032004
274,170310105032005
275,170310105032006
276,170310105032007
277,170310105032008
278,170310105032009
279,170310105032010
280,170310105032011
281,170310105032012
282,170310106001000
283,170310106001001
284,170310106001002
285,170310106001003
286,170310106001004
287,170310106001005
288,170310106001006
289,170310106001007
290,170310106001008
291,170310106001009
292,170310106001010
293,170310106001011
294,170310106001012
295,170310106001013
296,170310106001014
297,170310106001015
298,170310106001016
299,170310106001017
300,170310106001018
301,170310106001019
302,170310106001020
303,170310106001021
304,170310106001022
305,170310106002000
306,170310106002001
307,170310106002002
308,170310106002003
309,170310106002004
310,170310106002005
