,count,mean,std,min,25%,50%,75%,max,file
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_1800_1.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_1800_1.csv
acc1800,99032.0,0.00413909029487108,0.0010194588312279677,0.0,0.0035663275311553252,0.0043187332738171,0.004966259268477425,0.0064796149346826,access_1800_1.csv
acc1800_1000,99032.0,4.13909029487108,1.0194588312279678,0.0,3.566327531155325,4.3187332738171005,4.966259268477425,6.4796149346826,access_1800_1.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_1800_max_f.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_1800_max_f.csv
acc1800,99032.0,0.004131350517417991,0.001013425239076311,0.0,0.0035537733448923253,0.00432870682538625,0.004943655401239849,0.0064704999935894,access_1800_max_f.csv
acc1800_1000,99032.0,4.131350517417991,1.0134252390763108,0.0,3.553773344892325,4.32870682538625,4.94365540123985,6.4704999935894,access_1800_max_f.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_1800_min_a.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_1800_min_a.csv
acc1800,99032.0,0.0020245231447103096,0.0011976580715624217,0.0,0.0014158176672911,0.0023089607037335,0.00306932149238305,0.00457487955859,access_1800_min_a.csv
acc1800_1000,99032.0,2.024523144710309,1.1976580715624217,0.0,1.4158176672911,2.3089607037335,3.06932149238305,4.57487955859,access_1800_min_a.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_1800_min_f.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_1800_min_f.csv
acc1800,99032.0,0.004118387527584259,0.0010403162722031072,0.0,0.0035102532507207997,0.0043180186397841006,0.0049647021141786245,0.0064822144031215,access_1800_min_f.csv
acc1800_1000,99032.0,4.118387527584259,1.0403162722031074,0.0,3.5102532507208,4.3180186397841,4.964702114178625,6.4822144031215,access_1800_min_f.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_2700_1.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_2700_1.csv
acc2700,99032.0,0.004127622950159387,0.0005813778641325614,5.8959168336359855e-05,0.003852637792911875,0.0041978161933570995,0.0045165355484625,0.0055403911129974,access_2700_1.csv
acc2700_1000,99032.0,4.127622950159386,0.5813778641325613,0.0589591683363598,3.852637792911875,4.1978161933571005,4.5165355484625005,5.5403911129974,access_2700_1.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_2700_max_f.csv
