orig,acc3600
140140,0
126821,0
147879,0
59748,0
4437,0
94501,0
97524,0
29449,0
165601,0
89795,0
89171,0
66112,0
46516,0
65880,0
94254,0
116892,0
166972,0
115171,0
59738,0
14003,0
133062,0
19215,0
97860,0
28543,0
96308,0
126881,0
14157,0
99701,0
20782,0
64206,0
47867,0
99285,0
127031,0
108168,0
137178,0
133076,0
6685,0
139256,0
62850,0
43111,0
106120,0
8618,0
83121,0
154239,0
8704,0
129107,0
55045,0
38508,0
97881,0
76518,0
118566,0
83502,0
149903,0
37661,0
98762,0
41093,0
91920,0
23759,0
160546,0
32996,0
28590,0
30685,0
87714,0
90748,0
77152,0
116814,0
2737,0
39050,0
126266,0
72215,0
160310,0
111280,0
56957,0
165531,0
107994,0
114189,0
91888,0
6226,0
63501,0
81831,0
48299,0
21079,0
127883,0
140508,0
83397,0
112840,0
70696,0
124502,0
58400,0
105428,0
25112,0
118823,0
62265,0
1838,0
93299,0
116877,0
127795,0
142946,0
103768,0
95555,0
55317,0
140980,0
147542,0
59694,0
128463,0
110174,0
151508,0
92688,0
68972,0
111126,0
52393,0
152608,0
118794,0
88251,0
135249,0
121014,0
16164,0
123664,0
117150,0
79516,0
20179,0
164145,0
131420,0
4856,0
108844,0
71106,0
58634,0
78333,0
99038,0
63363,0
68733,0
80647,0
78573,0
50756,0
60089,0
153680,0
10860,0
114261,0
122409,0
72253,0
70388,0
144100,0
19110,0
40747,0
111866,0
41007,0
84194,0
149943,0
164436,0
106987,0
22402,0
159196,0
135673,0
48603,0
1528,0
91402,0
38479,0
83975,0
106056,0
147590,0
100205,0
135066,0
101431,0
29032,0
14368,0
91063,0
119352,0
142002,0
124629,0
3444,0
159141,0
151818,0
122500,0
91132,0
110399,0
2065,0
131894,0
116047,0
80764,0
48333,0
136596,0
10325,0
125993,0
57091,0
88748,0
69424,0
70588,0
1854,0
165608,0
158312,0
53374,0
116107,0
147333,0
61210,0
90269,0
57112,0
12364,0
13763,0
100403,0
51796,0
106360,0
13992,0
42259,0
49470,0
124633,0
80821,0
