orig,acc900
150771,
153900,
151465,
153945,
151554,
118155,
117989,
150748,
104685,
154033,
70013,
124364,
67265,
104708,
104668,
121686,
154265,
151595,
151682,
151601,
150767,
151714,
117991,
151596,
70517,
151593,
124605,
155464,
151625,
150921,
151715,
154321,
150759,
150760,
154492,
160436,
69971,
104744,
154809,
131731,
166864,
104695,
166695,
153944,
150910,
121710,
131755,
111922,
104711,
104691,
112867,
111777,
151521,
151019,
151590,
70504,
141093,
150743,
153958,
154816,
69972,
151516,
166869,
154843,
151606,
107045,
150726,
140911,
67362,
69970,
153933,
166902,
166645,
125032,
151555,
125053,
70024,
125046,
111921,
150770,
140908,
140962,
154857,
153930,
166679,
121283,
70501,
118443,
153935,
121687,
150761,
77265,
124601,
151018,
164148,
153985,
151614,
151010,
104689,
118156,
150766,
150742,
151020,
70535,
122609,
151514,
155469,
124283,
151526,
125062,
154850,
150732,
154854,
151624,
118043,
150781,
150765,
166649,
65466,
124366,
153840,
70009,
111927,
154858,
140913,
104671,
70010,
121284,
117992,
154810,
154032,
125691,
69991,
137654,
150912,
69986,
150753,
153928,
137624,
154807,
166693,
150727,
104504,
117963,
154815,
150768,
121698,
151600,
121715,
140912,
151550,
154266,
111919,
69975,
150754,
154856,
153908,
117997,
153943,
104693,
150735,
125030,
155474,
151556,
125045,
69979,
150778,
155445,
126027,
131732,
150734,
121496,
104687,
151552,
150755,
166472,
151551,
153693,
130609,
118165,
151598,
166648,
26409,
164173,
150745,
154844,
125042,
154818,
151460,
166647,
151532,
121680,
104672,
121709,
111776,
155461,
151716,
131701,
160349,
140930,
118000,
151515,
104698,
165828,
150323,
151454,
150757,
151459,
154817,
150756,
70783,
99060,
150779,
125043,
151654,
151594,
124602,
104673,
104692,
166677,
69990,
104690,
160429,
150733,
121747,
154853,
125689,
112863,
125169,
151549,
124606,
121406,
104697,
125029,
140905,
151001,
99067,
121718,
153706,
160428,
69993,
107049,
117940,
104696,
104911,
118002,
153974,
154805,
118571,
154842,
150913,
151462,
165827,
69969,
150780,
151015,
153929,
121416,
151579,
154814,
121282,
154325,
150741,
69982,
126029,
153843,
117993,
150751,
151533,
140910,
153946,
131733,
151607,
151613,
151017,
154808,
151463,
153977,
151604,
154848,
99066,
111917,
155463,
154323,
70512,
70536,
153957,
153838,
125168,
153704,
107044,
65493,
125063,
150728,
151621,
104713,
151599,
117986,
155462,
69973,
141092,
125064,
107055,
150744,
69994,
151535,
153925,
150968,
140963,
125175,
124362,
154855,
154789,
140909,
121495,
104712,
70023,
65475,
121743,
151580,
153934,
124284,
125031,
150746,
118257,
152929,
77150,
151456,
151626,
154811,
137718,
26436,
153717,
121693,
121746,
124360,
117982,
151540,
151536,
153707,
150747,
166947,
69976,
153931,
150782,
166520,
130342,
151685,
121694,
104710,
160431,
118570,
154324,
124361,
125054,
154813,
121679,
125052,
153947,
153690,
150729,
118158,
69974,
153839,
125061,
150739,
70030,
151016,
150764,
150769,
131752,
150758,
155589,
151591,
153841,
154804,
124336,
166911,
154812,
118001,
121685,
125044,
150763,
151537,
65497,
154264,
166858,
150213,
69978,
121704,
121711,
150736,
151588,
140906,
151622,
69984,
150749,
99068,
121692,
121688,
153667,
151597,
104709,
152932,
151000,
151584,
69981,
117999,
151623,
151659,
69977,
104769,
121713,
150301,
70516,
154322,
104503,
131753,
117842,
69985,
150730,
98967,
124355,
151464,
150772,
121712,
166650,
65486,
160430,
104684,
140929,
150840,
153949,
150762,
151557,
117998,
150740,
151451,
153709,
70503,
98966,
125170,
125050,
151616,
151712,
166694,
121498,
151553,
154787,
125051,
104688,
150750,
153705,
151655,
125065,
131736,
153976,
125687,
151627,
117983,
124354,
166859,
150731,
150752,
150738,
155460,
151534,
150737,
107048,
16796,0
90535,0
135215,0
86137,0
120400,0
161622,0
41250,0
44263,0
50218,0
126483,0
107564,0
55636,0
119202,0
91150,0
136808,0
119680,0
128333,0
161643,0
79695,0
135640,0
30998,0
1598,0
9469,0
98113,0
114335,0
117372,0
97365,0
160473,0
95628,0
29048,0
104278,0
5703,0
23576,0
77260,0
6125,0
29222,0
64145,0
145908,0
67325,0
105937,0
98287,0
103994,0
147618,0
8974,0
42176,0
109467,0
113636,0
144602,0
78550,0
1302,0
114972,0
100832,0
135210,0
76701,0
49144,0
85986,0
25530,0
139735,0
78609,0
87478,0
82028,0
77955,0
56310,0
62855,0
66852,0
47240,0
75002,0
47204,0
63875,0
86260,0
99560,0
139023,0
39925,0
81661,0
42094,0
58588,0
59783,0
52860,0
92540,0
114299,0
121722,0
93214,0
52165,0
91002,0
77525,0
12087,0
98385,0
17972,0
11764,0
58565,0
86947,0
147,0
115178,0
133044,0
165774,0
106809,0
135116,0
79520,0
141579,0
123725,0
133512,0
151427,0
129023,0
140983,0
120849,0
55358,0
133856,0
96271,0
93956,0
145291,0
87070,0
106443,0
153777,0
124301,0
124462,0
87449,0
107036,0
147396,0
48255,0
36541,0
10146,0
11734,0
61433,0
130378,0
138341,0
104772,0
39383,0
54287,0
106858,0
31864,0
73720,0
50373,0
83796,0
165317,0
156838,0
137144,0
35016,0
5507,0
107622,0
56168,0
95798,0
111200,0
64580,0
30643,0
11655,0
107372,0
30858,0
137283,0
115652,0
41615,0
57448,0
161539,0
130430,0
54871,0
25949,0
86703,0
129217,0
42466,0
63376,0
80779,0
79750,0
5840,0
106217,0
6312,0
62067,0
81924,0
3909,0
141462,0
33026,0
55835,0
162622,0
153043,0
133373,0
15648,0
158726,0
8071,0
28193,0
16854,0
135343,0
139053,0
135207,0
51438,0
142645,0
102959,0
9584,0
89848,0
132069,0
34765,0
135155,0
120973,0
106662,0
53283,0
106318,0
157740,0
57186,0
48565,0
3012,0
103182,0
95673,0
97144,0
26303,0
40584,0
37212,0
40431,0
164265,0
43423,0
147970,0
65383,0
85853,0
63477,0
21085,0
38740,0
80855,0
147480,0
101442,0
145198,0
91190,0
101333,0
80308,0
107542,0
36768,0
80661,0
121353,0
151952,0
87345,0
124376,0
95056,0
151364,0
11901,0
60529,0
4826,0
37324,0
132798,0
4800,0
56344,0
78682,0
36736,0
102931,0
483,0
26617,0
16398,0
166817,0
62571,0
146387,0
123152,0
20758,0
41258,0
39996,0
106684,0
103808,0
87193,0
29285,0
99703,0
95825,0
135088,0
106854,0
109984,0
88770,0
116642,0
72823,0
3734,0
47949,0
100307,0
47412,0
119161,0
131196,0
139972,0
55317,0
4661,0
70631,0
68160,0
49566,0
55861,0
159958,0
14751,0
88045,0
15944,0
26390,0
62267,0
127535,0
165025,0
108751,0
104223,0
131847,0
93171,0
73386,0
27509,0
88380,0
7922,0
6444,0
15185,0
150366,0
114199,0
145129,0
64362,0
46953,0
63176,0
76002,0
11408,0
28282,0
48847,0
78615,0
81156,0
111252,0
115189,0
134407,0
148339,0
115766,0
90996,0
86312,0
42443,0
58694,0
135632,0
3088,0
83783,0
89614,0
10955,0
79035,0
58490,0
16274,0
106940,0
106354,0
51224,0
115774,0
79631,0
105186,0
130251,0
35641,0
82225,0
95890,0
10136,0
82645,0
139681,0
161339,0
101089,0
69480,0
113052,0
121540,0
122651,0
117576,0
110599,0
153061,0
84753,0
18079,0
106236,0
128783,0
122284,0
23676,0
72420,0
104595,0
135087,0
109285,0
158889,0
98415,0
10851,0
94174,0
21856,0
20576,0
136000,0
121670,0
43439,0
153047,0
119999,0
72025,0
36318,0
100707,0
120588,0
76986,0
81551,0
23996,0
118127,0
39722,0
148135,0
131493,0
27287,0
145835,0
147765,0
96432,0
109017,0
1574,0
135756,0
30713,0
68939,0
116892,0
44657,0
90914,0
46691,0
77339,0
147221,0
45666,0
142238,0
90016,0
46805,0
124565,0
132392,0
38346,0
57473,0
107715,0
1832,0
103424,0
71700,0
392,0
20108,0
1540,0
138739,0
82760,0
88364,0
110592,0
136307,0
88873,0
57172,0
141000,0
78780,0
76723,0
103625,0
61897,0
8056,0
2153,0
5720,0
24907,0
1838,0
165531,0
128771,0
74786,0
86664,0
132538,0
54249,0
6776,0
13598,0
53955,0
104241,0
49443,0
16172,0
11753,0
28187,0
148325,0
50598,0
94697,0
60581,0
110812,0
3326,0
55169,0
132437,0
51332,0
110593,0
163536,0
16026,0
53768,0
103911,0
140891,0
25189,0
2358,0
39950,0
12169,0
87062,0
49732,0
79783,0
114375,0
158923,0
88879,0
131426,0
105533,0
114443,0
165665,0
94576,0
98424,0
112840,0
129265,0
98825,0
88799,0
56764,0
165824,0
163934,0
27429,0
26497,0
81960,0
125766,0
158363,0
147317,0
74055,0
110616,0
4778,0
100482,0
21089,0
40458,0
11235,0
153033,0
29470,0
160410,0
89925,0
2345,0
116763,0
84894,0
76711,0
165731,0
91904,0
66169,0
26574,0
35983,0
129860,0
76918,0
165645,0
166596,0
44255,0
8888,0
126674,0
12479,0
116808,0
142420,0
77874,0
23658,0
63250,0
58342,0
56880,0
51153,0
115858,0
27009,0
147118,0
17046,0
19723,0
4658,0
146581,0
128841,0
48895,0
68644,0
102818,0
114505,0
142123,0
102675,0
125106,0
40764,0
61011,0
111411,0
62105,0
44873,0
114372,0
90913,0
106954,0
150132,0
79483,0
49470,0
76131,0
30859,0
40862,0
142425,0
129467,0
18275,0
135481,0
58687,0
158150,0
110248,0
152601,0
26171,0
118599,0
7701,0
9518,0
95549,0
21874,0
87936,0
111166,0
102945,0
53844,0
105163,0
83907,0
76614,0
30737,0
54292,0
76460,0
108720,0
145214,0
58368,0
116633,0
27,0
141369,0
44386,0
124286,0
123855,0
36076,0
109596,0
26355,0
86140,0
97103,0
17495,0
157671,0
115287,0
62573,0
88733,0
27178,0
28620,0
39828,0
2104,0
147634,0
157896,0
45033,0
158722,0
60553,0
141512,0
74041,0
79030,0
145135,0
19346,0
144446,0
50889,0
103220,0
77866,0
99279,0
136122,0
2804,0
106461,0
166133,0
139018,0
83142,0
57976,0
53975,0
34490,0
12871,0
72946,0
164698,0
15528,0
91392,0
42554,0
91130,0
102108,0
57659,0
41974,0
128028,0
136079,0
19398,0
2195,0
47997,0
55248,0
118024,0
134929,0
101982,0
55544,0
119485,0
96703,0
12307,0
141257,0
9642,0
76034,0
62102,0
130690,0
51439,0
50790,0
70940,0
127864,0
122755,0
94063,0
84801,0
101405,0
6974,0
122592,0
1116,0
153998,0
9691,0
49386,0
86911,0
13119,0
39777,0
15863,0
145703,0
91,0
19256,0
115750,0
130348,0
129308,0
66352,0
72105,0
3369,0
40456,0
64865,0
135427,0
118361,0
41802,0
140518,0
5259,0
25917,0
105900,0
18358,0
4508,0
139423,0
127750,0
27122,0
17448,0
145078,0
8718,0
161018,0
14190,0
55910,0
35480,0
113640,0
15748,0
30153,0
159438,0
145111,0
99105,0
48623,0
140214,0
98625,0
109451,0
105923,0
97860,0
141623,0
4467,0
114197,0
75914,0
19900,0
91752,0
57958,0
60504,0
41794,0
114151,0
131842,0
159502,0
4172,0
137256,0
151356,0
12364,0
134542,0
13976,0
38071,0
57648,0
94376,0
124761,0
90851,0
107790,0
120103,0
123148,0
95754,0
112342,0
44298,0
148812,0
61941,0
126189,0
165739,0
74891,0
42917,0
25913,0
146503,0
89140,0
159006,0
117136,0
95936,0
96704,0
67989,0
105435,0
157899,0
52924,0
33858,0
99403,0
135211,0
12985,0
36402,0
18361,0
75780,0
76028,0
141359,0
13374,0
30714,0
92863,0
149999,0
123727,0
47220,0
161137,0
34634,0
58657,0
113486,0
153267,0
39307,0
54999,0
129188,0
95836,0
6753,0
89991,0
18920,0
86838,0
56022,0
14660,0
77816,0
145195,0
82855,0
15052,0
72245,0
55425,0
81563,0
41959,0
159841,0
79246,0
147206,0
163537,0
2523,0
6750,0
147350,0
81378,0
110816,0
157858,0
30235,0
45480,0
16534,0
147470,0
71169,0
139200,0
6862,0
131147,0
128532,0
145155,0
157274,0
133628,0
152180,0
166945,0
89962,0
164050,0
83939,0
4625,0
68952,0
51432,0
127315,0
114264,0
37372,0
31800,0
110100,0
14817,0
128874,0
85591,0
15829,0
73258,0
83774,0
100218,0
135457,0
13493,0
92918,0
42643,0
38343,0
111368,0
32996,0
152580,0
66146,0
15975,0
78328,0
2858,0
17469,0
89265,0
212,0
48262,0
103107,0
119201,0
102141,0
