orig,acc1800
70211,
70224,
150738,
70028,
70204,
70225,
70212,
70192,
70213,
70189,
70191,
70180,
70214,
70188,
70215,
70203,
70029,
70209,
70027,
70038,
70179,
70026,
70208,
154325,
154324,
70226,
70732,
70187,
150739,
70752,
28333,0
5710,0
58447,0
42246,0
97428,0
31997,0
100934,0
113671,0
61409,0
44718,0
5015,0
75710,0
120551,0
124411,0
55291,0
47169,0
152840,0
34643,0
115878,0
127605,0
18781,0
11310,0
50845,0
79711,0
102257,0
140568,0
141733,0
40868,0
72850,0
154102,0
30855,0
52569,0
74442,0
7192,0
47116,0
63294,0
166100,0
15114,0
10897,0
37612,0
118318,0
160923,0
162573,0
141609,0
58601,0
79464,0
166639,0
38222,0
73720,0
95705,0
153129,0
30382,0
107632,0
106680,0
79291,0
118069,0
2383,0
108399,0
10195,0
24853,0
43997,0
127673,0
1621,0
156370,0
16824,0
1425,0
102108,0
15778,0
34484,0
2758,0
153456,0
135561,0
49790,0
74625,0
40744,0
124288,0
118115,0
49592,0
27616,0
111615,0
4821,0
110679,0
42624,0
138049,0
73740,0
141072,0
78349,0
40343,0
86695,0
79733,0
45647,0
73678,0
148645,0
83736,0
123777,0
109179,0
131559,0
7605,0
56871,0
31601,0
80503,0
72251,0
67100,0
106866,0
77124,0
112999,0
38070,0
11408,0
97980,0
116587,0
152362,0
62311,0
7247,0
38193,0
5471,0
53383,0
87989,0
147118,0
147450,0
115688,0
60500,0
161409,0
155859,0
155947,0
82609,0
75734,0
99160,0
117529,0
27326,0
97498,0
1836,0
54249,0
145104,0
49206,0
161062,0
104375,0
81230,0
60887,0
59683,0
112762,0
141492,0
159075,0
141393,0
76388,0
133028,0
116608,0
140988,0
89046,0
108697,0
14292,0
85322,0
129280,0
133076,0
152396,0
61850,0
3740,0
48606,0
122729,0
156904,0
157881,0
64854,0
87277,0
45186,0
139549,0
64217,0
16656,0
2153,0
128813,0
131860,0
3541,0
143986,0
70964,0
13098,0
103957,0
91960,0
15726,0
37644,0
42535,0
24430,0
97377,0
96785,0
47930,0
160989,0
100596,0
214,0
119720,0
160943,0
74814,0
74802,0
85671,0
97917,0
57909,0
82640,0
90668,0
75032,0
14393,0
882,0
77380,0
161457,0
23653,0
114928,0
127264,0
20131,0
88313,0
151803,0
45880,0
148001,0
110374,0
66146,0
109947,0
78287,0
10157,0
4695,0
81826,0
107565,0
139405,0
136042,0
106458,0
131393,0
110593,0
803,0
151067,0
103134,0
160299,0
43023,0
116229,0
41043,0
110672,0
3241,0
80927,0
217,0
111690,0
103907,0
162622,0
147748,0
122253,0
56967,0
28580,0
113761,0
16751,0
13194,0
47974,0
140289,0
147590,0
27723,0
62394,0
36139,0
9195,0
57632,0
69090,0
72025,0
105139,0
54879,0
95538,0
153076,0
46038,0
101313,0
49759,0
92461,0
40088,0
65992,0
137044,0
109047,0
80626,0
140044,0
118118,0
107079,0
96067,0
165607,0
20355,0
44109,0
46291,0
122192,0
77260,0
8435,0
10381,0
108663,0
145184,0
157134,0
130624,0
161042,0
163888,0
26608,0
21076,0
14678,0
127559,0
134544,0
148447,0
72289,0
59697,0
78457,0
82384,0
29680,0
74257,0
3090,0
136985,0
48935,0
30023,0
37360,0
45494,0
161065,0
162641,0
71344,0
145892,0
45031,0
21038,0
14584,0
52634,0
76034,0
145366,0
151166,0
146913,0
31078,0
110942,0
75034,0
97046,0
74997,0
5051,0
88855,0
48392,0
103025,0
42166,0
71178,0
68609,0
37686,0
45202,0
110592,0
79111,0
119835,0
37367,0
59541,0
45619,0
6392,0
139191,0
95906,0
51504,0
159024,0
91391,0
134194,0
116294,0
164327,0
127610,0
71100,0
166793,0
99243,0
16100,0
6874,0
116947,0
63450,0
135481,0
150024,0
145944,0
151961,0
132535,0
72510,0
148636,0
138427,0
117133,0
106227,0
144429,0
161536,0
103008,0
147087,0
145416,0
139128,0
78537,0
2612,0
234,0
87515,0
115661,0
23719,0
4031,0
74500,0
152189,0
82715,0
116640,0
101745,0
15027,0
116198,0
140333,0
8852,0
107302,0
70818,0
166324,0
11739,0
63376,0
109705,0
114327,0
109430,0
147894,0
102581,0
162108,0
133220,0
41282,0
94495,0
11093,0
85456,0
46906,0
3093,0
110589,0
57686,0
119301,0
79942,0
53380,0
94701,0
33780,0
157740,0
42869,0
121004,0
41502,0
70801,0
55284,0
46970,0
24286,0
125399,0
108403,0
116580,0
7719,0
19056,0
6261,0
112037,0
48333,0
105993,0
107582,0
100503,0
80386,0
155330,0
153088,0
62533,0
17448,0
135088,0
115658,0
40190,0
106153,0
161620,0
75300,0
107395,0
153647,0
82222,0
94697,0
141117,0
126176,0
140179,0
164918,0
122340,0
156767,0
102093,0
79082,0
65416,0
27128,0
152255,0
8677,0
6433,0
140094,0
116440,0
152456,0
126421,0
89300,0
132978,0
102921,0
107408,0
60739,0
41486,0
19988,0
82249,0
31039,0
19248,0
52614,0
103815,0
141925,0
140789,0
31893,0
150409,0
65172,0
139189,0
80015,0
141237,0
13885,0
26090,0
126852,0
15623,0
53773,0
75547,0
115422,0
19965,0
22251,0
31435,0
103127,0
59829,0
115810,0
46310,0
9092,0
106393,0
127898,0
45630,0
94449,0
133223,0
12725,0
15040,0
83058,0
90265,0
22464,0
87425,0
77297,0
64906,0
94369,0
38662,0
89371,0
1013,0
88457,0
45106,0
94114,0
2979,0
95947,0
66307,0
126202,0
4652,0
11246,0
132558,0
69674,0
111315,0
136528,0
43611,0
128018,0
166329,0
52032,0
131890,0
34299,0
12731,0
94501,0
4551,0
4638,0
85615,0
64574,0
2192,0
165608,0
13132,0
153724,0
122509,0
26875,0
95638,0
95791,0
17125,0
107502,0
86860,0
156704,0
165982,0
115297,0
140142,0
147783,0
79118,0
91794,0
89847,0
5517,0
5309,0
85826,0
101991,0
97888,0
85594,0
135240,0
87823,0
116615,0
120588,0
79223,0
5393,0
19125,0
78567,0
52831,0
149211,0
95305,0
139259,0
75078,0
76858,0
159370,0
80890,0
137491,0
46957,0
120924,0
57574,0
30291,0
39133,0
59113,0
128814,0
43265,0
99799,0
107593,0
158858,0
153698,0
87629,0
125766,0
56880,0
20243,0
69127,0
2718,0
122264,0
78360,0
49439,0
11919,0
45395,0
43774,0
124909,0
85584,0
62613,0
109683,0
122277,0
27993,0
118093,0
29164,0
86828,0
120226,0
8977,0
89642,0
115381,0
127580,0
60869,0
158648,0
75336,0
86552,0
83833,0
164596,0
13150,0
33891,0
25868,0
33530,0
68387,0
79562,0
106639,0
78660,0
79029,0
131198,0
93254,0
7424,0
87597,0
115908,0
14762,0
13068,0
9960,0
104408,0
26605,0
28224,0
105665,0
149384,0
75313,0
95596,0
49254,0
83391,0
79487,0
20133,0
89077,0
82034,0
53093,0
96190,0
111280,0
143265,0
85732,0
39273,0
79834,0
23234,0
133362,0
119355,0
5857,0
77670,0
19017,0
88097,0
84476,0
131712,0
42986,0
106075,0
28813,0
127458,0
65153,0
141068,0
120088,0
131552,0
19475,0
48501,0
53150,0
42964,0
20800,0
68471,0
99403,0
79072,0
81307,0
4185,0
58255,0
116136,0
34188,0
166739,0
122968,0
107996,0
43491,0
74075,0
150838,0
1197,0
4435,0
28606,0
131220,0
76108,0
118911,0
78672,0
134478,0
1985,0
14483,0
155489,0
127258,0
152750,0
59765,0
117331,0
28261,0
99836,0
27064,0
100622,0
145816,0
14103,0
71911,0
59810,0
104145,0
780,0
156446,0
137020,0
56440,0
45457,0
162609,0
26512,0
61441,0
119425,0
138949,0
6870,0
70714,0
158767,0
75321,0
31384,0
51309,0
154041,0
158243,0
117296,0
53975,0
140600,0
53376,0
118472,0
11077,0
139117,0
74986,0
141994,0
16617,0
57615,0
130687,0
164040,0
90909,0
158937,0
135507,0
150640,0
99915,0
148881,0
15994,0
84445,0
4990,0
10777,0
71044,0
88673,0
76382,0
155646,0
140462,0
92310,0
83802,0
78736,0
18362,0
127162,0
108923,0
30769,0
160150,0
157330,0
111445,0
123974,0
93488,0
106858,0
102400,0
38011,0
94633,0
95748,0
123763,0
36240,0
128582,0
28364,0
98066,0
28419,0
135498,0
110811,0
39694,0
129013,0
138356,0
48242,0
119155,0
151216,0
41887,0
17905,0
110694,0
83495,0
142358,0
13619,0
2118,0
43752,0
15830,0
141302,0
10631,0
132809,0
119306,0
83563,0
100278,0
44045,0
51607,0
118809,0
94205,0
84055,0
138116,0
33614,0
100270,0
85723,0
62329,0
37774,0
10139,0
160182,0
49386,0
65855,0
106768,0
19110,0
65349,0
62213,0
109495,0
60929,0
5037,0
27930,0
97143,0
31723,0
46001,0
110926,0
61772,0
45388,0
35344,0
21405,0
46989,0
158150,0
160761,0
65420,0
135705,0
38516,0
37355,0
149277,0
96352,0
76611,0
2048,0
51073,0
129462,0
97628,0
72670,0
115390,0
152849,0
160812,0
139663,0
165127,0
139260,0
150420,0
28720,0
52245,0
100207,0
41733,0
165585,0
5259,0
82396,0
100550,0
97844,0
147124,0
41258,0
14017,0
15591,0
126741,0
55960,0
86713,0
91844,0
54870,0
121912,0
11601,0
149526,0
10864,0
53524,0
59299,0
67693,0
90627,0
55164,0
74441,0
110644,0
154252,0
45456,0
79829,0
161763,0
131332,0
165483,0
5083,0
139593,0
128801,0
121770,0
81330,0
138429,0
133647,0
159892,0
140840,0
140630,0
89259,0
165659,0
106527,0
122000,0
68369,0
146273,0
17076,0
137478,0
114744,0
30684,0
21218,0
81177,0
53856,0
135132,0
40209,0
45786,0
164348,0
38181,0
4276,0
11880,0
8836,0
45953,0
1219,0
138884,0
81649,0
136356,0
122035,0
20086,0
110617,0
138269,0
154515,0
105650,0
106956,0
59821,0
7547,0
89355,0
16773,0
44873,0
52815,0
134818,0
6328,0
68982,0
73519,0
147957,0
152671,0
53668,0
50890,0
164428,0
56119,0
154727,0
82059,0
142357,0
17471,0
110358,0
135549,0
1776,0
139143,0
87136,0
34152,0
50461,0
106482,0
131225,0
451,0
114832,0
13337,0
89971,0
135787,0
20815,0
997,0
165381,0
10207,0
58112,0
91659,0
21626,0
27775,0
80457,0
38738,0
153037,0
118992,0
18226,0
84725,0
72522,0
69711,0
80928,0
4861,0
58718,0
30391,0
7506,0
39568,0
33865,0
